chipUid;captureDate;captureAddressPostCode;captureAddressPostName;captureAddressThoroughfare;captureAddressLocatorDesignator;captureAddressLocatorBuilding;captureAddressDescription;captureLat;captureLon;animalSpecies;animalBreed;animalSex;animalColor;animalAge;animalFur;animalHeight;animalWeight;vaccinationsInfo;isSterilizationInfo;releasedDate;releasedAddressPostCode;releasedAddressPostName;releasedAddressThoroughfare;releasedAddressLocatorDesignator;releasedAddressLocatorBuilding;releasedAddressDescription;releasedLat;releasedLon;days_in_captivity;captureYear;captureMonth
2337;2024-08-01;76008;Івано-Франківськ;вул. Федьковича;88;;;;;собака;;Самиця;коричнева;2-3 роки;;;;;ІСТИНА;2024-02-13;76008;Івано-Франківськ;вул. Федьковича;;;;;;-170.0;2024.0;8.0
2332;2024-01-09;76018;Івано-Франківськ;вул. Мельника;;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;2024-01-17;76018;Івано-Франківськ;вул.Мельника;;;;;;8.0;2024.0;1.0
2331;2024-01-09;76018;Івано-Франківськ;вул. Мельника;;;;;;собака;;Самець;сірий;3-6 років;;;;;ІСТИНА;2024-01-20;76018;Івано-Франківськ;вул.Мельника;;;;;;11.0;2024.0;1.0
2330;2024-01-09;77457;с.Радча;;;;;;;собака;;Самиця;біло-руда;3-6 років;;;;;ІСТИНА;2024-01-18;77457;с.Радча;;;;;;;9.0;2024.0;1.0
2333;2024-01-09;76494;Івано-Франківськ;вул.Юності;;;;;;собака;;Самиця;чорна;1 рік;;;;;ІСТИНА;2024-01-26;76494;Івано-Франківськ;вул.Юності;;;;;;17.0;2024.0;1.0
2335;2024-01-17;76000;Івано-Франківськ;вул.Вовчинецька;;;;;;собака;;Самиця;чорна з підпалом;2-3 роки;;;;;ІСТИНА;2024-01-28;76000;Івано-Франківськ;вул.Вовчинецька;;;;;;11.0;2024.0;1.0
2336;2023-01-19;77441;с. Підпечари;;;;;;;собака;;Самиця;трьохколірна;2-3 роки;;;;;ІСТИНА;2024-01-31;77441;с. Підпечари;;;;;;;377.0;2023.0;1.0
2337;2024-01-23;76492;с.Угорники;вул.Тополина ;;;;;;собака;;Самиця;чорна з тигровим молоком;2-3 роки;;;;;ІСТИНА;2024-01-28;76492;с.Угорники;;;;;;;5.0;2024.0;1.0
2339;2024-01-24;77460;с.Черніїв;;;;;;;собака;;Самиця;біло-руда;2-3 роки;;;;;ІСТИНА;2024-01-28;77460;с.Черніїв;;;;;;;4.0;2024.0;1.0
2379;2024-01-04;76014;Івано-Франківськ;вул. Коновальця;магазин Велмарт;;;;;собака;;Самиця;чорна з підпалом;1 рік;;;;;ІСТИНА;2024-01-15;76014;вул. Коновальця;;;;;;;11.0;2024.0;1.0
