chipUid;catchName;catchId;captureDate;captureCATUTTC;captureAddressPostCode;captureAddressAdminUnitL1;captureAddressAdminUnitL2;captureAddressAdminUnitL3;captureAddressAdminUnitL4;captureAddressPostName;captureAddressThoroughfare;captureAddressLocatorDesignator;captureAddressLocatorBuilding;captureAddressDescription;captureLat;captureLon;animalSpecies;animalBreed;animalSex;animalColor;animalAge;animalFur;animalHeight;animalWeight;vaccinationsInfo;isSterilizationInfo;veterinary Name;veterinary Id;releasedDate;releaseCATUTTC;releasedAddressPostCode;releasedAddressAdminUnitL1;releasedAddressAdminUnitL2;releasedAddressAdminUnitL3;releasedAddressAdminUnitL4;releasedAddressPostName;releasedAddressThoroughfare;releasedAddressLocatorDesignator;releasedAddressLocatorBuilding;releasedAddressDescription;releasedLat;releasedLon
2337;"КП ""Полігон ТПВ""";3364590;01.08.2024;UA26040190000081578;76008;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Федьковича;88;null;null;null;null;собака;null;2;коричнева;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;13.02.2024;UA26040190000081578;76008;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул. Федьковича;null;null;null;null;null
2332;"КП ""Полігон ТПВ""";3364590;09.01.2024;UA26040190000081578;76018;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Мельника;null;null;null;null;null;собака;null;2;чорна з підпалом;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;17.01.2024;UA26040190000081578;76018;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Мельника;null;null;null;null;null
2331;"КП ""Полігон ТПВ""";3364590;09.01.2024;UA26040190000081578;76018;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Мельника;null;null;null;null;null;собака;null;1;сірий;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;20.01.2024;UA26040190000081578;76018;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Мельника;null;null;null;null;null
2330;"КП ""Полігон ТПВ""";3364590;09.01.2024;UA26040190000081578;77457;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Радча;null;null;null;null;null;null;собака;null;2;біло-руда;3-6 років;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;18.01.2024;UA26040190000081578;77457;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с.Радча;null;null;null;null;null;null
2333;"КП ""Полігон ТПВ""";3364590;09.01.2024;UA26040190000081578;76494;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Юності;null;null;null;null;null;собака;null;2;чорна;1 рік;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;26.01.2024;UA26040190000081578;76494;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Юності;null;null;null;null;null
2335;"КП ""Полігон ТПВ""";3364590;17.01.2024;UA26040190000081578;76000;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул.Вовчинецька;null;null;null;null;null;собака;null;2;чорна з підпалом;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;28.01.2024;UA26040190000081578;76000;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;Івано-Франківськ;вул.Вовчинецька;null;null;null;null;null
2336;"КП ""Полігон ТПВ""";3364590;19.01.2023;UA26040190000081578;77441;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с. Підпечари;null;null;null;null;null;null;собака;null;2;трьохколірна;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;31.01.2024;UA26040190000081578;77441;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с. Підпечари;null;null;null;null;null;null
2337;"КП ""Полігон ТПВ""";3364590;23.01.2024;UA26040190000081578;76492;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Угорники;вул.Тополина ;null;null;null;null;null;собака;null;2;чорна з тигровим молоком;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;28.01.2024;UA26040190000081578;76492;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с.Угорники;null;null;null;null;null;null
2339;"КП ""Полігон ТПВ""";3364590;24.01.2024;UA26040190000081578;77460;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;с.Черніїв;null;null;null;null;null;null;собака;null;2;біло-руда;2-3 роки;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;28.01.2024;UA26040190000081578;77460;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;с.Черніїв;null;null;null;null;null;null
2379;"КП ""Полігон ТПВ""";3364590;04.01.2024;UA26040190000081578;76014;Україна;Івано-Франківська обл;Франківський;Івано-Франківська;Івано-Франківськ;вул. Коновальця;магазин Велмарт;null;null;null;null;собака;null;2;чорна з підпалом;1 рік;null;null;null;null;ІСТИНА;"КП ""Полігон ТПВ""";33645903;15.01.2024;UA26040190000081578;76014;Україна;Івано-Франківська;Івано-Франківський;Івано-Франківська;вул. Коновальця;null;null;null;null;null;null
